lat,lon,gender
"39.30292653352195","-76.61350826906116",female
"32.785022749999996","-96.800602",male
"43.01128","-88.232781",male
"51.0533959592382","3.760096180316958",female
"28.54615191286866","-81.70862674713135",female
"25.078676665449212","55.1348340511322",male
"52.62115603795881","-1.6848693630819847",female
"31.73738","-106.4584774002809",male
"48.84508303474655","2.3492395877838135",male
"45.453701","9.252473",female
"-19.95553863134418","-44.17656144817378",male
"41.90537","-87.667621",female
"43.070016","-88.213965",male
"42.9342126616005","-78.86600017547607",male
"37.3979188486563","-121.93227552290972",male
"42.54206345805389","-70.94596962199427",female
"40.374234433333335","-111.88249101666666",female
"43.13647419322656","-87.99816068324822",female
"31.766664","-106.502121",female
"43.03134336904192","-89.49639505817046",male
"42.86639818333333","-78.78669943333334",female
"36.040762106045634","-115.04797473873145",male
