source,target,"_mkv_child"
"flare.vis.operator.filter.FisheyeTreeFilter","flare.animate.Transitioner",0
"flare.vis.operator.filter.FisheyeTreeFilter","flare.vis.data.NodeSprite",1
"flare.vis.operator.filter.FisheyeTreeFilter","flare.vis.data.DataSprite",2
"flare.vis.operator.filter.FisheyeTreeFilter","flare.vis.data.EdgeSprite",3
"flare.vis.operator.filter.FisheyeTreeFilter","flare.vis.data.Tree",4
"flare.vis.operator.filter.FisheyeTreeFilter","flare.vis.operator.Operator",5
"flare.vis.operator.filter.FisheyeTreeFilter","flare.vis.data.Data",6
"flare.vis.operator.encoder.SizeEncoder","flare.util.palette.Palette",0
"flare.vis.operator.encoder.SizeEncoder","flare.scale.ScaleType",1
"flare.vis.operator.encoder.SizeEncoder","flare.vis.operator.encoder.Encoder",2
"flare.vis.operator.encoder.SizeEncoder","flare.util.palette.SizePalette",3
"flare.vis.operator.encoder.SizeEncoder","flare.vis.data.Data",4
"flare.vis.operator.encoder.ShapeEncoder","flare.util.palette.Palette",0
"flare.vis.operator.encoder.ShapeEncoder","flare.scale.ScaleType",1
"flare.vis.operator.encoder.ShapeEncoder","flare.util.palette.ShapePalette",2
"flare.vis.operator.encoder.ShapeEncoder","flare.vis.operator.encoder.Encoder",3
"flare.vis.operator.encoder.ShapeEncoder","flare.vis.data.Data",4
"flare.vis.operator.encoder.PropertyEncoder","flare.animate.Transitioner",0
"flare.vis.operator.encoder.PropertyEncoder","flare.vis.data.DataList",1
"flare.vis.operator.encoder.PropertyEncoder","flare.vis.data.Data",2
"flare.vis.operator.encoder.PropertyEncoder","flare.vis.operator.encoder.Encoder",3
"flare.vis.operator.encoder.PropertyEncoder","flare.util.Filter",4
"flare.vis.operator.encoder.PropertyEncoder","flare.vis.operator.Operator",5
"flare.vis.operator.encoder.Encoder","flare.animate.Transitioner",0
"flare.vis.operator.encoder.Encoder","flare.vis.data.DataSprite",1
"flare.vis.operator.encoder.Encoder","flare.vis.operator.Operator",2
"flare.vis.operator.encoder.Encoder","flare.vis.data.ScaleBinding",3
"flare.vis.operator.encoder.Encoder","flare.util.palette.Palette",4
"flare.vis.operator.encoder.Encoder","flare.util.Filter",5
"flare.vis.operator.encoder.Encoder","flare.util.Property",6
"flare.vis.operator.encoder.Encoder","flare.vis.data.Data",7
"flare.vis.operator.encoder.ColorEncoder","flare.animate.Transitioner",0
"flare.vis.operator.encoder.ColorEncoder","flare.scale.ScaleType",1
"flare.vis.operator.encoder.ColorEncoder","flare.vis.operator.encoder.Encoder",2
"flare.vis.operator.encoder.ColorEncoder","flare.util.palette.Palette",3
"flare.vis.operator.encoder.ColorEncoder","flare.util.palette.ColorPalette",4
"flare.vis.operator.encoder.ColorEncoder","flare.vis.data.Data",5
"flare.vis.operator.distortion.FisheyeDistortion","flare.vis.operator.distortion.Distortion",0
"flare.vis.operator.distortion.Distortion","flare.animate.Transitioner",0
"flare.vis.operator.distortion.Distortion","flare.vis.data.DataSprite",1
"flare.vis.operator.distortion.Distortion","flare.vis.events.VisualizationEvent",2
"flare.vis.operator.distortion.Distortion","flare.vis.axis.Axis",3
"flare.vis.operator.distortion.Distortion","flare.vis.axis.CartesianAxes",4
"flare.vis.operator.distortion.Distortion","flare.vis.operator.layout.Layout",5
"flare.vis.operator.distortion.Distortion","flare.vis.data.Data",6
"flare.vis.operator.distortion.BifocalDistortion","flare.vis.operator.distortion.Distortion",0
"flare.vis.legend.LegendRange","flare.util.Colors",0
"flare.vis.legend.LegendRange","flare.vis.legend.Legend",1
"flare.vis.legend.LegendRange","flare.display.RectSprite",2
"flare.vis.legend.LegendRange","flare.display.TextSprite",3
"flare.vis.legend.LegendRange","flare.scale.Scale",4
"flare.vis.legend.LegendRange","flare.util.Stats",5
"flare.vis.legend.LegendRange","flare.scale.IScaleMap",6
"flare.vis.legend.LegendRange","flare.util.Orientation",7
"flare.vis.legend.LegendRange","flare.util.palette.ColorPalette",8
"flare.vis.legend.LegendItem","flare.util.Shapes",0
"flare.vis.legend.LegendItem","flare.display.TextSprite",1
"flare.vis.legend.LegendItem","flare.vis.legend.Legend",2
"flare.vis.legend.LegendItem","flare.display.RectSprite",3
"flare.vis.legend.Legend","flare.animate.Transitioner",0
"flare.vis.legend.Legend","flare.vis.data.ScaleBinding",1
"flare.vis.legend.Legend","flare.util.palette.SizePalette",2
"flare.vis.legend.Legend","flare.scale.ScaleType",3
"flare.vis.legend.Legend","flare.vis.legend.LegendItem",4
"flare.vis.legend.Legend","flare.display.RectSprite",5
"flare.vis.legend.Legend","flare.display.TextSprite",6
"flare.vis.legend.Legend","flare.scale.Scale",7
"flare.vis.legend.Legend","flare.vis.legend.LegendRange",8
"flare.vis.legend.Legend","flare.util.Displays",9
"flare.vis.legend.Legend","flare.util.Orientation",10
"flare.vis.legend.Legend","flare.util.palette.ShapePalette",11
"flare.vis.legend.Legend","flare.util.palette.Palette",12
"flare.vis.legend.Legend","flare.util.palette.ColorPalette",13
"flare.vis.events.VisualizationEvent","flare.animate.Transitioner",0
"flare.vis.events.TooltipEvent","flare.vis.data.EdgeSprite",0
"flare.vis.events.TooltipEvent","flare.vis.data.NodeSprite",1
"flare.vis.events.SelectionEvent","flare.vis.events.DataEvent",0
"flare.vis.events.DataEvent","flare.vis.data.EdgeSprite",0
"flare.vis.events.DataEvent","flare.vis.data.NodeSprite",1
"flare.vis.events.DataEvent","flare.vis.data.DataList",2
